,Pokedex_Number,Name,Type1,Type2,Attack,Defense,Experience_Growth,Base_Egg,Base_Happiness,Base_Total,Capture_Rate,Height_M,Weight_Kg,Generation,Is_Legendary,Hp,Sp_Attack,Sp_Defense,Speed,Abilities,Type,N_Abilities,BMI
0,1,Bulbasaur,Grass,Poison,49.0,49.0,1059860.0,5120.0,70.0,318.0,45.0,0.7,6.9,1,0,45.0,65.0,65.0,45.0,"['Overgrow', 'Chlorophyll']",Grass_Poison,2,14.081632653061227
1,2,Ivysaur,Grass,Poison,62.0,63.0,1059860.0,5120.0,70.0,405.0,45.0,1.0,13.0,1,0,60.0,80.0,80.0,60.0,"['Overgrow', 'Chlorophyll']",Grass_Poison,2,13.0
2,3,Venusaur,Grass,Poison,100.0,123.0,1059860.0,5120.0,70.0,625.0,45.0,2.0,100.0,1,0,80.0,122.0,120.0,80.0,"['Overgrow', 'Chlorophyll']",Grass_Poison,2,25.0
3,4,Charmander,Fire,NaN,52.0,43.0,1059860.0,5120.0,70.0,309.0,45.0,0.6,8.5,1,0,39.0,60.0,50.0,65.0,"['Blaze', 'Solar Power']",Fire,2,23.61111111111111
4,5,Charmeleon,Fire,NaN,64.0,58.0,1059860.0,5120.0,70.0,405.0,45.0,1.1,19.0,1,0,58.0,80.0,65.0,80.0,"['Blaze', 'Solar Power']",Fire,2,15.702479338842974
5,6,Charizard,Fire,Flying,104.0,78.0,1059860.0,5120.0,70.0,634.0,45.0,1.7,90.5,1,0,78.0,159.0,115.0,100.0,"['Blaze', 'Solar Power']",Fire_Flying,2,31.314878892733567
6,7,Squirtle,Water,NaN,48.0,65.0,1059860.0,5120.0,70.0,314.0,45.0,0.5,9.0,1,0,44.0,50.0,64.0,43.0,"['Torrent', 'Rain Dish']",Water,2,36.0
7,8,Wartortle,Water,NaN,63.0,80.0,1059860.0,5120.0,70.0,405.0,45.0,1.0,22.5,1,0,59.0,65.0,80.0,58.0,"['Torrent', 'Rain Dish']",Water,2,22.5
8,9,Blastoise,Water,NaN,103.0,120.0,1059860.0,5120.0,70.0,630.0,45.0,1.6,85.5,1,0,79.0,135.0,115.0,78.0,"['Torrent', 'Rain Dish']",Water,2,33.39843749999999
9,10,Caterpie,Bug,NaN,30.0,35.0,1000000.0,3840.0,70.0,195.0,255.0,0.3,2.9,1,0,45.0,20.0,20.0,45.0,"['Shield Dust', 'Run Away']",Bug,2,32.22222222222222
10,11,Metapod,Bug,NaN,20.0,55.0,1000000.0,3840.0,70.0,205.0,120.0,0.7,9.9,1,0,50.0,25.0,25.0,30.0,['Shed Skin'],Bug,1,20.204081632653065
11,12,Butterfree,Bug,Flying,45.0,50.0,1000000.0,3840.0,70.0,395.0,45.0,1.1,32.0,1,0,60.0,90.0,80.0,70.0,"['Compoundeyes', 'Tinted Lens']",Bug_Flying,2,26.446280991735534
12,13,Weedle,Bug,Poison,35.0,30.0,1000000.0,3840.0,70.0,195.0,255.0,0.3,3.2,1,0,40.0,20.0,20.0,50.0,"['Shield Dust', 'Run Away']",Bug_Poison,2,35.55555555555556
13,14,Kakuna,Bug,Poison,25.0,50.0,1000000.0,3840.0,70.0,205.0,120.0,0.6,10.0,1,0,45.0,25.0,25.0,35.0,['Shed Skin'],Bug_Poison,1,27.77777777777778
14,15,Beedrill,Bug,Poison,150.0,40.0,1000000.0,3840.0,70.0,495.0,45.0,1.0,29.5,1,0,65.0,15.0,80.0,145.0,"['Swarm', 'Sniper']",Bug_Poison,2,29.5
15,16,Pidgey,Normal,Flying,45.0,40.0,1059860.0,3840.0,70.0,251.0,255.0,0.3,1.8,1,0,40.0,35.0,35.0,56.0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Normal_Flying,3,20.0
16,17,Pidgeotto,Normal,Flying,60.0,55.0,1059860.0,3840.0,70.0,349.0,120.0,1.1,30.0,1,0,63.0,50.0,50.0,71.0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Normal_Flying,3,24.793388429752063
17,18,Pidgeot,Normal,Flying,80.0,80.0,1059860.0,3840.0,70.0,579.0,45.0,1.5,39.5,1,0,83.0,135.0,80.0,121.0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Normal_Flying,3,17.555555555555557
18,19,Rattata,Normal,Dark,56.0,35.0,1000000.0,3840.0,70.0,253.0,255.0,,,1,0,30.0,25.0,35.0,72.0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Normal_Dark,6,
19,20,Raticate,Normal,Dark,71.0,70.0,1000000.0,3840.0,70.0,413.0,127.0,,,1,0,75.0,40.0,80.0,77.0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Normal_Dark,6,
20,21,Spearow,Normal,Flying,60.0,30.0,1000000.0,3840.0,70.0,262.0,255.0,0.3,2.0,1,0,40.0,31.0,31.0,70.0,"['Keen Eye', 'Sniper']",Normal_Flying,2,22.22222222222222
21,22,Fearow,Normal,Flying,90.0,65.0,1000000.0,3840.0,70.0,442.0,90.0,1.2,38.0,1,0,65.0,61.0,61.0,100.0,"['Keen Eye', 'Sniper']",Normal_Flying,2,26.38888888888889
22,23,Ekans,Poison,NaN,60.0,44.0,1000000.0,5120.0,70.0,288.0,255.0,2.0,6.9,1,0,35.0,40.0,54.0,55.0,"['Intimidate', 'Shed Skin', 'Unnerve']",Poison,3,1.725
23,24,Arbok,Poison,NaN,95.0,69.0,1000000.0,5120.0,70.0,448.0,90.0,3.5,65.0,1,0,60.0,65.0,79.0,80.0,"['Intimidate', 'Shed Skin', 'Unnerve']",Poison,3,5.3061224489795915
24,25,Pikachu,Electric,NaN,55.0,40.0,1000000.0,2560.0,70.0,320.0,190.0,0.4,6.0,1,0,35.0,50.0,50.0,90.0,"['Static', 'Lightningrod']",Electric,2,37.49999999999999
25,26,Raichu,Electric,Electric,85.0,50.0,1000000.0,2560.0,70.0,485.0,75.0,,,1,0,60.0,95.0,85.0,110.0,"['Static', 'Lightningrod', 'Surge Surfer']",Electric_Electric,3,
26,27,Sandshrew,Ground,Ice,75.0,90.0,1000000.0,5120.0,70.0,300.0,255.0,,,1,0,50.0,10.0,35.0,40.0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Ground_Ice,4,
27,28,Sandslash,Ground,Ice,100.0,120.0,1000000.0,5120.0,70.0,450.0,90.0,,,1,0,75.0,25.0,65.0,65.0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Ground_Ice,4,
28,29,Nidoran♀,Poison,NaN,47.0,52.0,1059860.0,5120.0,70.0,275.0,235.0,0.4,7.0,1,0,55.0,40.0,40.0,41.0,"['Poison Point', 'Rivalry', 'Hustle']",Poison,3,43.74999999999999
29,30,Nidorina,Poison,NaN,62.0,67.0,1059860.0,5120.0,70.0,365.0,120.0,0.8,20.0,1,0,70.0,55.0,55.0,56.0,"['Poison Point', 'Rivalry', 'Hustle']",Poison,3,31.249999999999993
30,31,Nidoqueen,Poison,Ground,92.0,87.0,1059860.0,5120.0,70.0,505.0,45.0,1.3,60.0,1,0,90.0,75.0,85.0,76.0,"['Poison Point', 'Rivalry', 'Sheer Force']",Poison_Ground,3,35.50295857988165
31,32,Nidoran♂,Poison,NaN,57.0,40.0,1059860.0,5120.0,70.0,273.0,235.0,0.5,9.0,1,0,46.0,40.0,40.0,50.0,"['Poison Point', 'Rivalry', 'Hustle']",Poison,3,36.0
32,33,Nidorino,Poison,NaN,72.0,57.0,1059860.0,5120.0,70.0,365.0,120.0,0.9,19.5,1,0,61.0,55.0,55.0,65.0,"['Poison Point', 'Rivalry', 'Hustle']",Poison,3,24.074074074074073
